iter	PRAUC	Logloss
0	0.4605075198	0.6632239951
1	0.460956767	0.6380098301
2	0.4722515105	0.6145339797
3	0.4741201803	0.5942495237
4	0.4778336279	0.5764054931
5	0.4778268801	0.5617787715
6	0.481203571	0.5485564044
7	0.4838361999	0.5363165655
8	0.4854533205	0.5264586779
9	0.4860261155	0.5180045312
10	0.4872987559	0.5102408342
11	0.4874605556	0.5036271073
12	0.4888028757	0.4972527091
13	0.4898862562	0.4918060115
14	0.4903951002	0.4870367491
15	0.4909675431	0.4833142266
16	0.4919175268	0.4798053266
17	0.492963706	0.4763038334
18	0.4933244577	0.4734594373
19	0.4940380885	0.4709111464
20	0.4949283112	0.4682174728
21	0.4955001065	0.4662816283
22	0.4958104319	0.4643068358
23	0.496804876	0.462448477
24	0.4973648232	0.4609311538
25	0.4979148829	0.459512307
26	0.4982591991	0.4581778406
27	0.4988602166	0.45687819
28	0.4994290583	0.4557582846
29	0.4998144764	0.4549566345
30	0.5002035315	0.4540646207
31	0.5005306485	0.4533147955
32	0.5011707886	0.452645511
33	0.5017560211	0.4519561011
34	0.5022269168	0.4513544565
35	0.5027432319	0.4507715364
36	0.5030893626	0.4502873975
37	0.5035946804	0.4498991409
38	0.5038386971	0.4494386924
39	0.5040721998	0.449046543
40	0.5045424338	0.4486979613
41	0.5048846592	0.4483969906
42	0.505216019	0.4481144467
43	0.5053293173	0.447853024
44	0.5057281409	0.4475750908
45	0.5061895749	0.4472437346
46	0.5065472799	0.4470169448
47	0.5069774072	0.4467016141
48	0.507368412	0.4464911137
49	0.5076780605	0.4462824968
50	0.507886284	0.4461042127
51	0.5080579643	0.4458876865
52	0.5083761318	0.445726129
53	0.5085910623	0.4455655824
54	0.5090425633	0.4451527766
55	0.5092804988	0.4449826409
56	0.50951163	0.4448316958
57	0.5096669931	0.4446848822
58	0.5099874798	0.4445617747
59	0.5101537832	0.4444267055
60	0.5104904857	0.4442110887
61	0.510623184	0.4441167291
62	0.5108286399	0.4440115954
63	0.5109460539	0.4439336371
64	0.5111072866	0.4438182728
65	0.5112779008	0.4437032377
66	0.511520877	0.4435647297
67	0.511676762	0.443489353
68	0.5118739369	0.4434002079
69	0.5120811951	0.443287849
70	0.512317739	0.443192509
71	0.5124711499	0.4431094795
72	0.5125620658	0.4430286278
73	0.5127417958	0.4429285511
74	0.512921877	0.4428442643
75	0.5132189396	0.4426561692
76	0.5133382665	0.4425987773
77	0.5135260665	0.4424549158
78	0.5137335281	0.4423587956
79	0.5138269034	0.4422890807
80	0.5140408666	0.4422245172
81	0.5142250056	0.442129451
82	0.5144675483	0.4420470539
83	0.5146730248	0.4419581732
