iter	Passed	Remaining
0	312	218669
1	499	174249
2	671	156001
3	838	145844
4	1007	140022
5	1179	136481
6	1347	133406
7	1514	131007
8	1696	130235
9	1857	128201
10	2051	128523
11	2223	127456
12	2392	126429
13	2548	124878
14	2714	123982
15	2881	123164
16	3052	122649
17	3215	121844
18	3395	121694
19	3562	121109
20	3731	120638
21	3900	120206
22	4065	119668
23	4255	119849
24	4426	119526
25	4613	119598
26	4813	119974
27	4988	119717
28	5168	119583
29	5354	119586
30	5547	119723
31	5727	119555
32	5901	119273
33	6089	119273
34	6260	118950
35	6450	118971
36	6624	118704
37	6799	118455
38	6975	118230
39	7148	117956
40	7329	117805
41	7499	117496
42	7682	117387
43	7864	117257
44	8038	117010
45	8235	117080
46	8433	117177
47	8627	117191
48	8845	117517
49	9039	117514
50	9209	117198
51	9404	117198
52	9633	117601
53	9899	118426
54	10165	119213
55	10455	120232
56	10738	121136
57	10996	121723
58	11231	122028
59	11421	121833
60	11610	121623
61	11805	121487
62	11990	121232
63	12171	120952
64	12357	120723
65	12539	120459
66	12741	120383
67	12951	120370
68	13154	120300
69	13386	120476
70	13579	120302
71	13767	120085
72	13960	119910
73	14151	119711
74	14342	119522
75	14536	119353
76	14714	119050
77	14911	118911
78	15104	118729
79	15292	118513
80	15488	118361
81	15717	118455
82	15907	118248
83	16112	118161
84	16310	118011
85	16511	117883
86	16706	117716
87	16903	117557
88	17097	117376
89	17298	117247
90	17496	117094
91	17694	116937
92	17886	116742
93	18087	116608
94	18272	116370
95	18466	116185
96	18652	115950
97	18828	115659
98	19017	115449
99	19202	115215
100	19390	115000
101	19586	114830
102	19783	114666
103	19966	114423
104	20166	114277
105	20376	114187
106	20558	113935
107	20741	113696
108	20914	113398
109	21088	113111
110	21276	112900
111	21453	112633
112	21620	112312
113	21791	112016
114	21947	111647
115	22116	111346
116	22281	111028
117	22468	110817
118	22648	110579
119	22825	110322
120	22990	110011
121	23159	109721
122	23314	109369
123	23478	109063
124	23643	108758
125	23805	108449
126	23980	108195
127	24150	107920
128	24311	107612
129	24480	107338
130	24630	106983
131	24806	106744
132	24968	106443
133	25135	106167
134	25294	105864
135	25469	105622
136	25630	105326
137	25802	105079
138	25959	104770
139	26118	104473
140	26288	104222
141	26459	103975
142	26637	103754
143	26808	103510
144	26978	103261
145	27161	103063
146	27335	102835
147	27506	102590
148	27686	102384
149	27884	102244
150	28084	102108
151	28290	101993
152	28498	101888
153	28700	101754
154	28911	101655
155	29121	101552
156	29336	101464
157	29556	101391
158	29779	101324
159	29951	101084
160	30137	100893
161	30318	100688
162	30502	100490
163	30697	100327
164	30868	100087
165	31061	99919
166	31250	99740
167	31436	99549
168	31632	99388
169	31825	99221
170	32021	99062
171	32211	98882
172	32407	98721
173	32595	98535
174	32774	98323
175	32956	98121
176	33147	97943
177	33330	97744
178	33517	97555
179	33686	97317
180	33882	97154
181	34103	97062
182	34291	96877
183	34471	96671
184	34664	96498
185	34834	96263
186	35025	96085
187	35205	95878
188	35394	95696
189	35572	95483
190	35758	95293
191	35948	95112
192	36147	94956
193	36352	94816
194	36528	94598
195	36726	94439
196	36917	94260
197	37101	94065
198	37293	93890
199	37477	93694
200	37664	93505
201	37859	93336
202	38047	93151
203	38230	92953
204	38423	92778
205	38633	92645
206	38844	92513
207	39044	92356
208	39245	92199
209	39450	92051
210	39648	91885
211	39853	91737
212	40046	91562
213	40242	91392
214	40434	91212
215	40642	91069
216	40861	90950
217	41041	90742
218	41238	90573
219	41423	90378
220	41616	90200
221	41797	89996
222	41989	89816
223	42186	89646
224	42371	89450
225	42549	89240
226	42735	89047
227	42918	88848
228	43124	88698
229	43310	88503
230	43501	88321
231	43712	88179
232	43905	88000
233	44088	87800
234	44277	87613
235	44451	87395
236	44637	87203
237	44824	87012
238	45005	86808
239	45195	86625
240	45390	86450
241	45578	86260
242	45765	86069
243	45953	85881
244	46144	85697
245	46326	85496
246	46501	85283
247	46684	85086
248	46865	84884
249	47031	84657
250	47214	84459
251	47390	84249
252	47569	84045
253	47751	83847
254	47922	83628
255	48107	83436
256	48283	83228
257	48453	83009
258	48629	82801
259	48801	82586
260	48974	82374
261	49162	82187
262	49342	81986
263	49519	81781
264	49689	81565
265	49862	81354
266	50049	81166
267	50209	80935
268	50368	80702
269	50539	80489
270	50712	80279
271	50890	80078
272	51049	79846
273	51215	79627
274	51385	79414
275	51559	79206
276	51738	79008
277	51929	78828
278	52091	78603
279	52293	78440
280	52474	78244
281	52657	78052
282	52838	77858
283	53016	77657
284	53189	77451
285	53369	77255
286	53545	77052
287	53710	76835
288	53875	76618
289	54046	76410
290	54216	76201
291	54388	75995
292	54576	75811
293	54741	75595
294	54899	75370
295	55057	75146
296	55223	74933
297	55387	74717
298	55567	74523
299	55734	74312
300	55896	74095
301	56062	73883
302	56227	73671
303	56399	73467
304	56562	73253
305	56738	73055
306	56903	72844
307	57066	72629
308	57240	72431
309	57411	72226
310	57584	72026
311	57758	71827
312	57939	71637
313	58111	71436
314	58284	71236
315	58452	71030
316	58627	70833
317	58806	70641
318	58993	70459
319	59173	70268
320	59352	70077
321	59519	69871
322	59690	69669
323	59871	69480
324	60045	69283
325	60225	69093
326	60420	68919
327	60601	68730
328	60783	68542
