origin,rate,n,total_min,share_of_delay_minutes
ORD,0.23020920502092052,23900,272663.0,0.0980839204358438
DEN,0.2287170452400428,15893,177961.0,0.0640171661159864
DFW,0.2244375589384346,14846,162186.0,0.05834249135309067
ATL,0.1994688486936549,13932,137496.0,0.04946086093179779
MCO,0.22814172826918175,11769,131332.0,0.04724351099591891
LAX,0.2096624863227001,11881,122683.0,0.04413224240483903
LAS,0.19663105998356614,12170,114901.0,0.0413328560970828
CLT,0.2096441947565543,10680,106488.0,0.03830648279881075
PHX,0.18526082886562845,11751,102860.0,0.037001397534798974
DTW,0.2079820723508697,9371,94450.0,0.033976103413977866
MIA,0.2324971920628978,8013,92599.0,0.03331025092674363
SLC,0.19826746074715756,9235,90808.0,0.032665981988528346
IAH,0.20766302345572885,8143,83910.0,0.030184593302984467
MSP,0.19901095963646084,7482,73239.0,0.026345959109966385
JFK,0.22021376925495129,6362,68311.0,0.024573230283877628
PHL,0.23568091365288113,5779,67172.0,0.024163502578334793
FLL,0.226635119148217,5917,66601.0,0.023958099136837902
BWI,0.20689655172413793,6699,65739.0,0.023648015482599163
MDW,0.20008775778850374,6837,64514.0,0.02320735135679585
BOS,0.2307548230005619,5339,62477.0,0.022474589867602913
LGA,0.24933469805527123,4885,62304.0,0.022412357301264976
EWR,0.20748240947314228,5827,58769.0,0.021140726538232558
DAL,0.20387285348922177,5474,55107.0,0.01982341059644339
DCA,0.2372986369268897,4842,54410.0,0.019572681702006732
SEA,0.20794438927507447,5035,51474.0,0.01851652670334671
SFO,0.18428946381702288,5334,48938.0,0.017604262031479606
IAD,0.2230958230958231,4070,46399.0,0.016690918182161556
SAN,0.18776319048798612,4037,36738.0,0.013215607064295594
TPA,0.2284248642124321,3314,35991.0,0.012946891879009818
PDX,0.20241959280023605,3389,33272.0,0.011968797382634956
STL,0.2137508509189925,2938,30915.0,0.011120923632007684
BNA,0.21742136190805392,2893,30345.0,0.010915879916327776
AUS,0.23143759873617695,2532,29911.0,0.010759758911757459
RDU,0.22154911293812202,2311,23858.0,0.00858233854156362
MSY,0.22425409047160733,2078,23074.0,0.0083003135010495
