carrier_code,carrier_name,rate,n,mean_min,p90
DL,Delta Air Lines,0.14397314425550606,31874,4.372121478320889,24.0
AS,Alaska Airlines,0.1531589433768237,15559,4.68783340831673,25.0
UA,United Airlines,0.18394112718131808,27449,6.653466428649495,31.0
WN,Southwest Airlines,0.18574579423085238,46246,6.562816243567011,31.0
AA,American Airlines,0.19931909625502942,32310,7.412008666047663,33.0
B6,JetBlue Airways,0.23672632736726326,20002,9.978252174782522,41.0
G4,Allegiant Air,0.2395321975166041,6926,9.68336702281259,39.5
NK,Spirit Airlines,0.24655007010552726,13551,10.501070031731976,42.0
F9,Frontier Airlines,0.2538647792885081,10738,10.691376420189979,43.0
YX,Republic Airways,0.2768948984539137,18563,12.3081398480849,47.0
OO,SkyWest Airlines,0.28541964144058385,25212,12.913810883706171,48.0
MQ,Envoy Air,0.2994917715392062,16528,13.719385285575992,50.0
