,mutual_information,lgbm_gain,rfe_rank,group,pruned_by_correlation,rank_mi,rank_gain,rank_rfe,consensus_rank,selected
upstream_delay_min,0.046257589982563685,0.32587291445032995,1.0,historical,False,1.0,1.0,23.0,8.333333333333334,True
slack_vs_upstream_min,0.04509328827191106,0.03808228416737968,1.0,historical,False,2.0,5.0,23.0,10.0,True
aircraft_cum_delay_today,0.02855213045006577,0.011581015988814865,1.0,historical,False,4.0,12.0,23.0,13.0,True
scheduled_turnaround_min,0.008093427041661494,0.05617979859034917,1.0,flight,False,18.0,2.0,23.0,14.333333333333334,True
carrier_code,0.008560156914880102,0.02545489335484782,1.0,flight,False,17.0,7.0,23.0,15.666666666666666,True
aircraft_age_years,0.009508808402669544,0.011278221401540712,1.0,flight,False,11.0,13.0,23.0,15.666666666666666,True
hour_sin,0.006596618142607591,0.010120790783419285,1.0,time,False,24.0,15.0,23.0,20.666666666666668,True
carrier_delay_rate_7d,0.011504621502664625,0.006621668213957483,1.0,historical,False,8.0,35.0,23.0,22.0,True
hour_cos,0.005922766537174162,0.00999616268832277,1.0,time,False,28.0,16.0,23.0,22.333333333333332,True
dep_time_decimal,0.005052495780355493,0.012868565531140392,1.0,time,False,33.0,11.0,23.0,22.333333333333332,True
carrier_volume_7d,0.005255203490138083,0.007309718036827926,1.0,historical,False,32.0,29.0,23.0,28.0,True
carrier_share_at_origin,0.00905207483002668,0.004165189852627187,1.0,airport,False,13.0,48.0,23.0,28.0,True
padding_ratio,0.003977236857469313,0.007589501351582766,1.0,flight,False,42.0,27.0,23.0,30.666666666666668,True
dep_wx_cloud_ceiling_ft,0.003462710172513317,0.008921845958819041,1.0,weather,False,50.0,20.0,23.0,31.0,True
dep_temp_anomaly,0.0033449578592550377,0.009075492960674272,1.0,weather,False,51.0,19.0,23.0,31.0,True
origin_mean_delay_min_7d,0.0037196687888936264,0.008163424160624901,1.0,historical,False,48.0,23.0,23.0,31.333333333333332,True
route_wx_severity,0.002656873258795267,0.022217262440119186,1.0,weather,False,64.0,8.0,23.0,31.666666666666668,True
time_block,0.009879263710153019,0.019286636293071726,4.0,time,False,10.0,10.0,75.5,31.833333333333332,True
carrier_origin_delay_rate_14d,0.0038407665951221137,0.00695685346359699,1.0,historical,False,46.0,31.0,23.0,33.333333333333336,True
aircraft_model,0.005309230758050454,0.009944839974875953,3.0,flight,False,31.0,17.0,61.5,36.5,True
seats,0.007208959291618466,0.0019673832120329447,1.0,flight,False,22.0,66.0,23.0,37.0,True
route_delay_rate_30d,0.00220969025232276,0.008543110547061432,1.0,historical,False,69.0,21.0,23.0,37.666666666666664,True
scheduled_block_min,0.003250805451951111,0.006040486606484992,1.0,flight,False,52.0,39.0,23.0,38.0,True
day_of_week,0.0031537283055016463,0.006243867473512111,1.0,time,False,54.0,37.0,23.0,38.0,True
dep_wx_temperature_c,0.0025693660970427246,0.006886284308633143,1.0,weather,False,65.0,32.0,23.0,40.0,True
doy_cos,0.0029091764723347957,0.004770617949409575,1.0,time,False,59.0,45.0,23.0,42.333333333333336,True
origin_congestion_ratio,0.002495877232046473,0.005485314565432206,1.0,airport,False,66.0,40.0,23.0,43.0,True
carrier_origin_volume_14d,0.0021919563578893797,0.006074262876215344,1.0,historical,False,70.0,38.0,23.0,43.666666666666664,True
lat_delta,0.003108227713545686,0.0032893097798575746,1.0,geospatial,False,55.0,54.0,23.0,44.0,True
bearing_cos,0.0036406594756790422,0.0023336810895844984,1.0,geospatial,False,49.0,64.0,23.0,45.333333333333336,True
origin_delay_rate_7d,0.0014324042015274596,0.007818459868295432,1.0,historical,False,89.0,26.0,23.0,46.0,True
doy_sin,0.0038879990987488178,0.004569139914821103,2.0,time,False,44.0,46.0,50.0,46.666666666666664,True
dep_wx_wind_speed_kt,0.0015353735092036302,0.006442571029525813,1.0,weather,False,83.0,36.0,23.0,47.333333333333336,True
dep_wx_visibility_km,0.001969528515072705,0.005366464747438986,1.0,weather,False,78.0,41.0,23.0,47.333333333333336,True
dep_dewpoint_spread,0.0007812800817748045,0.008221776640164727,1.0,weather,False,102.0,22.0,23.0,49.0,True
day_of_month,0.0018514820116770636,0.0048522173675746615,1.0,time,False,80.0,44.0,23.0,49.0,True
dep_gust_factor,0.004309324572933981,0.0036142808969968636,3.0,weather,False,36.0,52.0,61.5,49.833333333333336,True
schedule_padding_min,0.0010709147319438728,0.007139284233766272,1.0,flight,False,98.0,30.0,23.0,50.333333333333336,True
destination,0.0,0.0520211157068569,1.0,geospatial,False,126.0,3.0,23.0,50.666666666666664,True
dep_minute,0.0006334482891607873,0.007324555442358057,1.0,time,False,106.0,28.0,23.0,52.333333333333336,True
route_popularity_30d,0.001470977345682023,0.00379583031424959,1.0,historical,False,85.0,50.0,23.0,52.666666666666664,True
origin,0.0012113446819754792,0.049221008066320356,3.0,geospatial,False,93.0,4.0,61.5,52.833333333333336,True
prev_leg_known,0.00900363522097658,0.0,1.0,historical,False,14.0,125.0,23.0,54.0,True
holiday_proximity,0.00012630863429685668,0.007895792674182838,1.0,time,False,115.0,25.0,23.0,54.333333333333336,True
elevation_gain_ft,0.00145082680961095,0.0035415058143910797,1.0,geospatial,False,88.0,53.0,23.0,54.666666666666664,True
origin_daily_departures,0.0029106568691552592,0.002941659704167431,2.0,airport,False,58.0,59.0,50.0,55.666666666666664,False
arr_wx_wind_gust_kt,0.0,0.009856309703869694,1.0,weather,False,126.0,18.0,23.0,55.666666666666664,False
day_of_year,0.0021140528512169077,0.004443403523243851,2.0,time,False,74.0,47.0,50.0,57.0,False
speed_kmh_implied,0.0,0.00802651103363548,1.0,flight,False,126.0,24.0,23.0,57.666666666666664,False
bearing_sin,0.0021890297322291197,0.003103171467391106,2.0,geospatial,False,71.0,56.0,50.0,59.0,False
origin_volume_7d,0.0006363245887313074,0.0037651893274910217,1.0,historical,False,105.0,51.0,23.0,59.666666666666664,False
lon_delta,0.0008024753325843736,0.0032306135276240337,1.0,geospatial,False,101.0,55.0,23.0,59.666666666666664,False
dep_wx_wind_gust_kt,0.0,0.006866120059093003,1.0,weather,False,126.0,33.0,23.0,60.666666666666664,False
days_to_holiday,0.002869587541504348,0.0025968053179420874,3.0,time,False,60.0,61.0,61.5,60.833333333333336,False
dep_wx_severity,0.0009090800563182899,0.006773955377456363,2.0,weather,False,100.0,34.0,50.0,61.333333333333336,False
is_first_leg_of_day,0.005653957483525485,0.00046181066736730747,4.0,flight,False,29.0,85.0,75.5,63.166666666666664,False
arr_wx_visibility_km,0.001068191282483033,0.005129425465606459,2.0,weather,False,99.0,42.0,50.0,63.666666666666664,False
origin_hourly_capacity,0.004204294087615468,0.0005829592365509616,4.0,airport,False,38.0,82.0,75.5,65.16666666666667,False
dep_rain_intensity,0.008757718240123724,0.00015702860148891814,5.0,weather,False,15.0,93.0,89.5,65.83333333333333,False
dest_is_hub,0.007536078314103856,0.00018330344756880518,5.0,airport,False,20.0,90.0,89.5,66.5,False
days_after_holiday,0.0011027233607356912,0.0029483817447610314,2.0,time,False,97.0,58.0,50.0,68.33333333333333,False
runways_per_departure,0.0018000915070366386,0.0025643900135213574,3.0,airport,False,81.0,63.0,61.5,68.5,False
is_morning_bank,0.0064059749753477835,0.0001749286690345354,5.0,time,False,25.0,91.0,89.5,68.5,False
is_red_eye,0.0027019988701082465,0.0011392371020050361,4.0,time,False,62.0,70.0,75.5,69.16666666666667,False
dest_hour_arrivals,0.00216621114462634,0.00093447302970206,3.0,airport,False,73.0,74.0,61.5,69.5,False
category,0.00494031695234165,0.000375873910080874,5.0,flight,False,34.0,86.0,89.5,69.83333333333333,False
carrier_type,0.006688968610262025,0.0,3.0,flight,False,23.0,125.0,61.5,69.83333333333333,False
is_friday,0.0016822906916571512,0.0013802344761165105,3.0,time,False,82.0,67.0,61.5,70.16666666666667,False
origin_is_hub,0.009355932854196114,9.498974625119634e-05,6.0,airport,False,12.0,96.0,103.5,70.5,False
dest_longitude,0.0015162483162880491,0.0011209163801495833,3.0,geospatial,False,84.0,71.0,61.5,72.16666666666667,False
is_holiday,0.004102112221601395,0.00022286821244019446,5.0,time,False,40.0,88.0,89.5,72.5,False
leg_depth,0.0053568776759933545,0.0005355833622543565,6.0,flight,False,30.0,84.0,103.5,72.5,False
dest_congestion_ratio,0.0,0.004906824175958217,2.0,airport,False,126.0,43.0,50.0,73.0,False
upstream_delayed_15,0.02096126343589555,0.0,5.0,historical,False,5.0,125.0,89.5,73.16666666666667,False
origin_longitude,0.0014529580143141096,0.0010120039469755546,3.0,geospatial,False,87.0,72.0,61.5,73.5,False
