,flights,delay_rate,mean_delay_min,delay_minutes,lift,share_of_delay_minutes,cumulative_share
D10,5259,0.6079102490967865,32.26678075679787,169691.0,2.903251717240201,0.3167336440486567,0.3167336440486567
D9,5259,0.25689294542688723,12.73740254801293,66986.0,1.2268667719710702,0.12503149772376448,0.4417651417724212
D8,5259,0.2253280091272105,10.892755276668568,57285.0,1.0761192633499024,0.10692427293920892,0.5486894147116301
D7,5259,0.19775622741966153,9.32401597261837,49035.0,0.9444422226868343,0.09152538576545535,0.6402148004770855
D6,5259,0.1755086518349496,7.98478798250618,41992.0,0.8381924726345653,0.07837940244851639,0.7185942029256018
D5,5259,0.15744438106103822,7.3057615516257846,38421.0,0.7519213080622104,0.07171401746700438,0.7903082203926062
D4,5259,0.14831717056474614,6.971477467199088,36663.0,0.7083316670151256,0.06843265460016089,0.8587408749927671
D3,5259,0.127020346073398,5.696900551435634,29960.0,0.6066225045719282,0.055921292087958444,0.9146621670807256
D2,5259,0.11713253470241491,5.066362426316791,26644.0,0.5594003934375865,0.04973187270999883,0.9643940397907244
D1,5260,0.0806083650190114,3.6266159695817493,19076.0,0.38496862738056925,0.03560596020927554,0.9999999999999999
