mitigation_cost_usd,effectiveness,break_even_p,optimal_threshold,alert_rate,precision,recall,net_benefit_usd
300,0.15,0.30906631489618563,0.31,0.08577513262725561,0.6608290844602084,0.27070468579731205,1540253.7679037992
300,0.3,0.15453315744809282,0.16,0.5514061341294137,0.28042346287803027,0.7384671267707955,7087203.2140850015
300,0.5,0.09271989446885567,0.09,0.9500104580631668,0.2168047716264361,0.9836541954231747,20058894.5923448
600,0.15,0.6181326297923713,0.59,0.043771748017721664,0.9422241529105126,0.19696694515074464,724173.4057642873
600,0.3,0.30906631489618563,0.31,0.08577513262725561,0.6608290844602084,0.27070468579731205,3080507.5358075984
600,0.5,0.18543978893771135,0.18,0.42832423798748837,0.31283849773594957,0.6399382491827098,9285331.904750168
900,0.15,0.9271989446885568,0.88,0.03234393717556236,0.9900058788947678,0.1529240828187432,103700.65251593362
900,0.3,0.4635994723442784,0.53,0.046604932402882625,0.9163606691146471,0.2039593171086088,2154329.2940033097
900,0.5,0.27815968340656705,0.28,0.11315624346371052,0.5726768610317594,0.30948056665455864,5670859.746188246
1500,0.15,1.545331574480928,0.95,0.02487117567644654,0.9969418960244648,0.11841627315655648,-696252.226317828
1500,0.3,0.772665787240464,0.7,0.03930330284649465,0.9704886308659894,0.18216491100617507,793809.8681080318
1500,0.5,0.4635994723442784,0.53,0.046604932402882625,0.9163606691146471,0.2039593171086088,3590548.8233388495
2500,0.15,2.5755526241348803,0.95,0.02487117567644654,0.9969418960244648,0.11841627315655648,-2004252.226317828
2500,0.3,1.2877763120674401,0.95,0.02487117567644654,0.9969418960244648,0.11841627315655648,-738504.4526356561
2500,0.5,0.772665787240464,0.7,0.03930330284649465,0.9704886308659894,0.18216491100617507,1323016.4468467198
