threshold,alerts,tp,fp,fn,alert_rate,precision,recall,gross_saving_usd,intervention_cost_usd,net_benefit_usd
0.02,52591,11012,41579,0,1.0,0.20938943925766768,1.0,21377936.324828338,47331900.0,-25953963.675171662
0.03,52591,11012,41579,0,1.0,0.20938943925766768,1.0,21377936.324828338,47331900.0,-25953963.675171662
0.04,52591,11012,41579,0,1.0,0.20938943925766768,1.0,21377936.324828338,47331900.0,-25953963.675171662
0.05,52588,11011,41577,1,0.9999429560190907,0.2093823686012018,0.9999091899745732,21375994.993887108,47329200.0,-25953205.006112892
0.06,52558,11010,41548,2,0.9993725162099979,0.20948285703413372,0.9998183799491464,21374053.662945878,47302200.0,-25928146.337054122
0.07,52255,10994,41261,18,0.9936110741381605,0.21039135011003732,0.9983654195423175,21342992.367886193,47029500.0,-25686507.632113807
0.08,51396,10944,40452,68,0.9772774809378031,0.2129348587438711,0.9938249182709771,21245925.820824675,46256400.0,-25010474.179175325
0.09,49962,10832,39130,180,0.9500104580631668,0.2168047716264361,0.9836541954231747,21028496.75540688,44965800.0,-23937303.24459312
0.1,47791,10626,37165,386,0.9087296305451503,0.22234311899730075,0.9649473301852525,20628582.58151343,43011900.0,-22383317.41848657
0.11,45147,10332,34815,680,0.8584548687037706,0.22885241544288656,0.9382491827097712,20057831.284791715,40632300.0,-20574468.715208285
0.12,42114,9978,32136,1034,0.8007834040044874,0.23692833736999572,0.9061024337086815,19370600.13159618,37902600.0,-18531999.86840382
0.13,38966,9590,29376,1422,0.7409252533703485,0.24611199507262743,0.8708681438430803,18617363.726398814,35069400.0,-16452036.273601186
0.14,35688,9137,26551,1875,0.6785951968968075,0.2560244339834118,0.8297312023247366,17737940.81002148,32119200.0,-14381259.189978521
0.15,32360,8649,23711,2363,0.6153144074081116,0.267274412855377,0.7854159099164548,16790571.31070108,29124000.0,-12333428.68929892
0.16,28999,8132,20867,2880,0.5514061341294137,0.28042346287803027,0.7384671267707955,15786903.214085001,26099100.0,-10312196.785914999
0.17,25701,7600,18101,3412,0.4886957844498108,0.2957083381969573,0.6901561932437341,14754115.153350469,23130900.0,-8376784.846649531
0.18,22526,7047,15479,3965,0.42832423798748837,0.31283849773594957,0.6399382491827098,13680559.1428501,20273400.0,-6592840.857149901
0.19,19690,6521,13169,4491,0.37439866136791466,0.33118334179786696,0.5921721758082092,12659419.067762949,17721000.0,-5061580.932237051
0.2,17085,6006,11079,5006,0.32486547127835563,0.35153643546971025,0.5454050127134036,11659633.633029332,15376500.0,-3716866.3669706676
0.21,14787,5525,9262,5487,0.2811697819018463,0.37363900723608573,0.5017253904831094,10725853.450297546,13308300.0,-2582446.5497024544
0.22,12792,5094,7698,5918,0.24323553459717442,0.3982176360225141,0.4625862695241555,9889139.814627275,11512800.0,-1623660.1853727251
0.23,11154,4704,6450,6308,0.21208952102070697,0.42173211403980637,0.42717035960770067,9132020.747547448,10038600.0,-906579.2524525523
